"抗生素分類","現用商品名","國際學名","規格","給藥途徑","Stat / Loading Dose","eGFR > 50 mL/min (常規/輕度)","eGFR 10-50 mL/min (中度)","eGFR < 10 mL/min (重度/透析)","臨床備註 (Notes)","院內代碼","藥廠/廠商","歷史舊商品名"
"Penicillins & β-Lactam / Inhibitor Combinations","Oxacillin","Oxacillin","1g/2g","IV","2g","2g Q6H","2g Q6H","2g Q6H","主要經肝臟代謝，腎功能不全不需調整；MSSA 感染首選；每克約含 2.8 mEq 鈉離子，心衰或水腫患者注意鈉負荷。","OXAI11","中國化學","Prostaphlin"
"Penicillins & β-Lactam / Inhibitor Combinations","Dicloxacillin","Dicloxacillin","250mg","PO","2#","2# QID","2# QID","2# QID","主要經肝膽代謝，腎衰竭不需調整；口服宜空腹（飯前 1 小時或飯後 2 小時）併服整杯水，以防食道刺激。","","榮民製藥","Dynapen"
"Penicillins & β-Lactam / Inhibitor Combinations","Amoxicillin","Amoxicillin","500mg","PO","500mg","500mg TID","500mg Q12H (10–30)","500mg QD
(HD：透析後給藥或QN、HS)","口服廣效青黴素；主要經腎排泄，中重度腎衰竭需拉長給藥間隔至 Q12H 或 QD；HD 透析後建議補充 500mg。","AMXO13","榮民製藥","Amolin"
"Penicillins & β-Lactam / Inhibitor Combinations","Curam","Amoxicillin/Clavulanate","500/125mg","PO","1#","1# TID","1# BID","1# QD
(HD：透析後給藥或QN、HS)","Amoxicillin/Clavulanate；建議隨餐服用以減輕胃腸道不適；主要經腎排泄，重度腎功能不全需拉長給藥間隔。","CURO00","SANDOZ","Augmentin"
"Penicillins & β-Lactam / Inhibitor Combinations","Anbicyn","Amoxicillin/Clavulanate","600mg","IV","1.2g","1.2g Q8H","1.2g Q12H (10–50)","0.6g Q12H (<10 或 HD)","廣效 β-lactam/BLI 複合劑針劑；主要經腎排泄，HD 透析後建議補充劑量；注意高劑量腹瀉與肝功能指數監測。","AUGI02","中國化學","Augmentin"
"Penicillins & β-Lactam / Inhibitor Combinations","Tapimycin","Piperacillin/Tazobactam","2.25g","IV","2.25g–4.5g","4.5g Q6H","2.25g Q6H","2.25g Q8H","抗綠膿桿菌廣效青黴素；HD 透析約清除 30–50%，透析日建議於每次 HD 結束後補充 2.25g；注意出血傾向與鈉蓄積。","PIPI07","永信藥品","Tazocin"
"Penicillins & β-Lactam / Inhibitor Combinations","Sulampi","Ampicillin/Sulbactam","3g/1.5g","IV","3g","3g Q6H","3g Q8–12H","3g QD
(HD：透析後給藥或QN、HS)","廣效 β-lactam/BLI 複合劑；主要由腎排泄，HD 透析後建議補充 1.5g；中重度腎不全需依 GFR 顯著拉長間隔。","AMPI21","政德製藥","Ansullina / Unasyn"
"Cephalosporins (頭孢菌素類)","Cefa","Cefazolin","1g","IV","1g","1g Q8H","1g Q12H","1g QD
(HD：透析後給藥或QN、HS)","第一代頭孢菌素，外科手術預防及 MSSA 感染首選；主要經腎排泄，HD 透析結束後給藥 1g；腎衰竭病患注意劑量蓄積。","CEZI03","信東生技","Cefamezin"
"Cephalosporins (頭孢菌素類)","Lonfadroxil","Cefadroxil","500mg","PO","1#–2#","2# Q12H","1# Q12H","1# QD
(HD：透析後給藥或QN、HS)","第一代口服頭孢菌素，食物不影響吸收；主要經腎臟原型排泄，中重度腎不全需拉長間隔或減半劑量。","CEFO18","瑞士藥廠","Duricef"
"Cephalosporins (頭孢菌素類)","Cephalexin","Cephalexin","500mg","PO","250–500mg","500mg Q6H","500mg Q12H","250mg Q12H","第一代口服頭孢菌素，常見於皮膚與軟組織感染；主要經腎排泄，重度腎功能不全需減半並拉長間隔至 Q12H。","","榮民製藥","Keflex"
"Cephalosporins (頭孢菌素類)","Cefuroxime","Cefuroxime","750mg","IV","1.5g","1.5g Q8H","1.5g Q12H","1.5g QD
(HD：透析後給藥或QN、HS)","第二代頭孢菌素，涵蓋流感嗜血桿菌等呼吸道致病菌；主要經腎小球濾過與腎小管排泄，腎衰竭需顯著減量。","CEFI08","中國化學","Curoxime / Zinacef"
"Cephalosporins (頭孢菌素類)","Flomoxef","Flomoxef","1g","IV","HD 前後 各 1g","1g Q6H","1.5g Q12H (30–50)
1g Q12H (<30)","1g QD
PD: 1g QD
(HD：透析後給藥或QN、HS)","具良好抗厭氧菌活性；含 N-MTT 側鏈，長期使用需監測凝血功能 (PT/INR) 防出血，並避免飲酒以防雙硫侖樣反應。","FLOI01","中國化學","Flumarin"
"Cephalosporins (頭孢菌素類)","Cefin","Ceftriaxone","500mg","IV","1g–2g","2g QD 或 1g Q12H","2g QD 或 1g Q12H","2g QD 或 1g Q12H
(HD：透析後給藥或QN、HS)","雙重排泄途徑 (膽汁 40%、腎 60%)，各腎功能分級不需調整劑量；⚠️ 嚴禁與含鈣溶液 (如 Ringer's) 同管輸注防結晶沉澱；蛋白結合率高不易被透析清除。","ROCI17","汎生製藥","Sintrix / Rocephin"
"Cephalosporins (頭孢菌素類)","Cexime","Cefixime","100mg","PO","200mg","200mg Q12H","100mg Q12H","100mg QD
(HD：透析後給藥或QN、HS)","第三代口服頭孢菌素，對 GNB 活性佳 (對綠膿桿菌無效)；主要經腎排泄，eGFR < 50 需減量至 100mg Q12H–QD。","CEFO17","信東生技","Mag cyclic"
"Cephalosporins (頭孢菌素類)","Tatumcef","Ceftazidime","1g","IV","2g","2g Q8H","1g Q12H (31–50)
1g Q12H (16–30)
1g QD (6–15)","1g QD
(HD：透析後給藥或QN、HS)","抗綠膿桿菌第三代頭孢菌素主力；主要經腎排泄，腎衰竭蓄積易引發神經毒性 (腦病變、意識混亂、抽搐)；HD 透析後給藥。","FORI06","中國化學","Sintum / Fortum / Cetadime"
"Cephalosporins (頭孢菌素類)","Zefotam","Cefoperazone/Sulbactam","2g","IV","2g","2g Q12H","2g Q12H (30–50)
1g Q12H (15–30)","1g Q12H (<15)","主要經膽汁代謝排泄 (約 75%)，一般腎功能不全不需大幅減量；含 N-MTT 側鏈，長期使用宜補充維生素 K 防出血，避免飲酒。","ZEFI01","中國化學","Brosym"
"Cephalosporins (頭孢菌素類)","Zavicefta","Ceftazidime/Avibactam","2g/0.5g","IV","—","2g/0.5g Q8H (drip 2h)","1g/0.25g Q8H (31–50)
1g/0.25g Q12H (16–30)","0.75g/0.1875g QD (6–15)
0.75g/0.1875g Q48H (HD)
(HD：透析後給藥或QN、HS)","【調配抽藥】1 瓶加 10 mL 滅菌水溶勻 (總體積約 12.0 mL，排氣針頭需待完全溶解後才插入)。
★ 減量抽取體積：
• 抽 6.0 mL = 1000mg/250mg (中度腎不全 16–50)
• 抽 4.5 mL = 750mg/187.5mg (重度 6–15 或 HD)
【輸注法】移入 100 mL 輸注袋 (NS / D5W / LR)，IV pump 以 120 分鐘輸注完畢；調配至完成不應超過 30 分鐘；HD 於透析結束後給藥 (Q48H)。","ZAVI90","ACS Dobfar",""
"Cephalosporins (頭孢菌素類)","Yupime","Cefepime","1g","IV","1g–2g","2g Q8H","2g Q12H (30–49)
2g QD (11–29)","1g QD
(HD：透析後給藥或QN、HS)","第四代廣效頭孢菌素 (涵蓋綠膿桿菌)；⚠️ 腎衰竭未適當減量易引發神經毒性 (Cefepime neurotoxicity: 意識不清、肌躍、抽搐)；HD 後補充 1g。","CEFI44","政德製藥","Maxipime"
